supplier_id;component_id;price
Supplier 1;A.03;11.669604332990916
Supplier 1;A.09;15.84741176350164
Supplier 1;C.14;4.307323671514976
Supplier 1;C.03;12.935673888693415
Supplier 1;B.13;11.198815867947934
Supplier 2;B.10;2.8568263509248304
Supplier 2;A.16;3.0714089556244835
Supplier 2;B.17;6.073409475340268
Supplier 2;A.04;17.850342643254614
Supplier 2;A.01;3.89807448410855
Supplier 2;C.01;14.747674501816284
Supplier 3;D.09;3.4534925192570314
Supplier 3;A.02;6.107868062478099
Supplier 3;C.08;4.053943575070595
Supplier 3;B.10;2.8568263509248304
Supplier 3;D.11;5.466283204924853
Supplier 3;C.01;14.747674501816284
Supplier 4;B.17;6.498169907208525
Supplier 4;B.14;10.329608606196269
Supplier 4;B.18;14.250695824238331
Supplier 4;C.10;5.113582581654889
Supplier 4;C.14;4.307323671514976
Supplier 4;B.06;9.45463729563861
Supplier 4;B.12;10.270087594978609
Supplier 4;C.15;18.5
Supplier 4;D.12;7.36118272879384
Supplier 4;B.11;2.2785049376456508
Supplier 5;C.11;18.14675142613382
Supplier 5;A.16;2.8683899166330793
Supplier 6;C.06;14.024235697794367
Supplier 6;C.13;15.385540151402298
Supplier 6;D.10;13.67124557599984
Supplier 6;C.15;17.136927301039275
Supplier 6;D.12;6.778825138682449
Supplier 6;C.12;2.339315806076635
Supplier 7;A.02;6.107868062478099
Supplier 7;C.07;7.55743910620468
Supplier 7;D.12;7.36118272879384
Supplier 8;C.13;15.385540151402298
Supplier 8;B.14;10.329608606196269
Supplier 8;A.16;3.0714089556244835
Supplier 8;C.02;15.276199738252608
Supplier 9;A.12;17.275152183006682
Supplier 9;B.17;6.073409475340268
Supplier 9;B.18;13.462877343688882
Supplier 9;A.13;9.145318961810906
Supplier 9;C.11;19.05842402271639
Supplier 9;D.12;7.36118272879384
Supplier 9;A.02;6.107868062478099
Supplier 9;A.09;14.96117003546482
Supplier 9;A.10;4.912088848427157
Supplier 10;C.14;4.307323671514976
Supplier 10;B.20;14.99758101051113
Supplier 10;D.11;5.762598598733036
Supplier 10;A.06;16.615263171983727
Supplier 10;A.09;15.84741176350164
Supplier 10;D.12;7.36118272879384
Supplier 10;A.17;10.107016188608611
Supplier 10;B.13;11.903218263278855
Supplier 10;A.10;4.548003351689085
Supplier 10;A.08;4.606391997390388
Supplier 11;A.07;12.14195803552325
Supplier 11;C.12;2.520242259029962
Supplier 11;C.04;14.143312565579318
Supplier 11;C.03;12.935673888693415
Supplier 11;A.05;3.8854582092674863
Supplier 11;B.17;6.073409475340268
Supplier 11;D.09;3.225604947333535
Supplier 12;A.17;10.107016188608611
Supplier 12;A.05;3.8854582092674863
Supplier 12;A.11;6.916727972011082
Supplier 13;C.04;14.143312565579318
Supplier 13;A.17;10.107016188608611
Supplier 13;C.12;2.339315806076635
Supplier 13;A.07;12.979928876683196
Supplier 13;B.16;15.771893263279894
Supplier 13;B.15;7.057122344939228
Supplier 13;C.05;14.535466964252231
Supplier 13;C.09;17.962355702875474
Supplier 13;C.06;13.236080190559749
Supplier 13;B.08;3.270970366624669
Supplier 14;B.11;2.133288234944424
Supplier 14;A.14;11.157587814882405
Supplier 14;A.12;17.275152183006682
Supplier 14;A.04;17.850342643254614
Supplier 14;C.01;14.747674501816284
Supplier 15;C.11;18.14675142613382
Supplier 16;B.13;11.198815867947934
Supplier 16;C.08;4.053943575070595
Supplier 16;B.10;2.8568263509248304
Supplier 16;A.10;4.912088848427157
Supplier 16;C.06;14.024235697794367
Supplier 17;B.19;8.572678055225518
Supplier 17;B.06;9.45463729563861
Supplier 17;C.04;14.143312565579318
Supplier 17;B.09;2.6716329852647696
Supplier 17;A.04;17.850342643254614
Supplier 17;C.15;18.5
Supplier 17;C.11;18.14675142613382
Supplier 18;B.11;2.2785049376456508
Supplier 18;A.15;15.417217435498651
Supplier 18;A.06;17.864781433156097
Supplier 18;B.18;14.250695824238331
Supplier 19;A.16;3.0714089556244835
Supplier 19;B.13;11.198815867947934
Supplier 19;A.12;17.275152183006682
Supplier 19;D.11;5.466283204924853
Supplier 19;A.11;6.916727972011082
Supplier 19;A.13;8.539806749847337
Supplier 20;B.16;15.771893263279894
Supplier 20;A.15;15.417217435498651
Supplier 20;C.11;18.14675142613382
Supplier 20;C.02;15.276199738252608
Supplier 20;C.05;14.535466964252231
Supplier 20;A.16;3.0714089556244835
Supplier 20;C.12;2.339315806076635
Supplier 20;A.07;12.14195803552325
Supplier 20;D.11;5.466283204924853
